Question,Topic,Category,Pushed
Implement a Fenwick Tree (Binary Indexed Tree) for prefix sums.,Miscellaneous,Medium,False
Find the k-th smallest element in a BST.,Miscellaneous,Medium,False
Solve range minimum query (RMQ) with Sparse Table.,Miscellaneous,Hard,False
Implement a Suffix Array and/or Suffix Tree for a given string.,Miscellaneous,Hard,False
Compute maximum flow using Dinic’s or Push-Relabel algorithm.,Miscellaneous,Hard,False
Find Eulerian Path or Eulerian Circuit in a graph.,Miscellaneous,Hard,False
Meet-in-the-middle approach for subset sum problem.,Miscellaneous,Hard,False
Heavy-Light Decomposition for advanced tree queries.,Miscellaneous,Hard,False
"Explain the Trie data structure and its typical use cases.","Trie",Basic,False
"Implement a Trie with insert and search operations.","Trie",Very Simple,False
"Implement a function to check if a given word exists in the Trie.","Trie",Very Simple,False
"Implement a function to check if there is any word in the Trie that starts with a given prefix.","Trie",Very Simple,False
"Delete a word from a Trie and ensure proper node cleanup.","Trie",Simple,False
"Count the number of words stored in a Trie.","Trie",Simple,False
"Find all words in the Trie that have a given prefix.","Trie",Simple,False
"Implement a Trie to store a dictionary and enable auto-complete suggestions.","Trie",Medium,False
"Find the longest common prefix among a set of strings using a Trie.","Trie",Medium,False
"Implement a function to find all unique substrings of a string using a Trie.","Trie",Medium,False
"Design a Trie that supports wildcard searches with '.' character.","Trie",Hard,False
"Implement a compressed Trie (Radix Tree) and compare its performance with a standard Trie.","Trie",Hard,False
"Use a Trie to efficiently solve the Word Break problem.","Trie",Hard,False
"Implement a function to find the number of distinct substrings in a string using a Trie.","Trie",Hard,False
"Design a system using Trie to store and retrieve contact names with fast prefix queries.","Trie",Hard,False
"Explain the Disjoint Set (Union-Find) data structure and its applications.","Disjoint Set",Basic,False
"Implement a basic Disjoint Set with union and find operations.","Disjoint Set",Very Simple,False
"Enhance the Disjoint Set with Union by Rank optimization.","Disjoint Set",Very Simple,False
"Further optimize the Disjoint Set with Path Compression in find operation.","Disjoint Set",Very Simple,False
"Detect cycles in an undirected graph using Disjoint Set.","Disjoint Set",Simple,False
"Count the number of connected components in an undirected graph using Disjoint Set.","Disjoint Set",Simple,False
"Implement a Disjoint Set with both Union by Rank and Path Compression.","Disjoint Set",Simple,False
"Use Disjoint Set to solve the Kruskal’s Minimum Spanning Tree algorithm.","Disjoint Set",Medium,False
"Determine if adding an edge between two vertices will form a cycle using Disjoint Set.","Disjoint Set",Medium,False
"Implement Disjoint Set to efficiently merge groups and find their representatives.","Disjoint Set",Medium,False
"Use Disjoint Set to solve the Friend Circles problem.","Disjoint Set",Hard,False
"Design a system to dynamically manage equivalence relations using Disjoint Set.","Disjoint Set",Hard,False
"Implement a persistent Disjoint Set that can handle historical queries.","Disjoint Set",Hard,False
"Use Disjoint Set with additional data to track the size of each set.","Disjoint Set",Hard,False
"Apply Disjoint Set in image processing to find connected regions in a binary image.","Disjoint Set",Hard,False
